Availability:,Availability:
"No options of this product are available.","No options of this product are available."
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Associated Products","Associated Products"
"Grouped Products","Produtos Agrupados"
"We cannot process the item.","We cannot process the item."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"There are no grouped products.","There are no grouped products."
"Default Qty","Default Qty"
"Starting at:","Starting at:"
"Grouped product items","Grouped product items"
"Add Products to Group","Adicionar Produtos"
"Grouped Product Image","Grouped Product Image"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Um produto agrupado é formado por vários produtos simples em uma única página. Você pode oferecer variações de um único produto ou agrupar por temas. Cada produto pode ser comprado separadamente ou como parte de um grupo."
"Product Name","Nome do Produto"
