"All Websites","Todos os Websites"
"Add Tax","Adicionar Imposto"
"Delete Tax","Excluir Imposto"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"Including FPT only","Incluindo somente FPT"
"Including FPT and FPT description","Incluindo FPT e descrição FPT"
"Excluding FPT. Including FPT description and final price","Removendo FPT. Includindo descrição FPT e preço final"
"Excluding FPT","Removendo FPT"
"Fixed Product Tax","Imposto fixo sob produto"
Country/State,País/Estado
"Fixed Product Taxes","Impostos fixos sob produto"
"Enable FPT","Habilitar FPT"
"Display Prices In Product Lists","Mostrar preços na listagem de produtos"
"Display Prices On Product View Page","Mostar preços na página do produto"
"Display Prices In Sales Modules","Mostrar nos modulos de venda"
"Display Prices In Emails","Mostrar preços nos emails"
"Apply Tax To FPT","Aplicar Imposto ao FPT"
"Include FPT In Subtotal","Incluir FPT no Subtotal"
"FPT","FPT"
